Rank,Name,Type,Snippet,SRI,Percentage
1,google syndication,Add-on,x,,11.72
2,jquery,Library,x,x,6.39
3,wordpress,Platform,,,5.04
4,google apis,Add-on,x,,2.62
5,blogger,Platform,,,2.40
6,font-awesome,Library,x,x,2.21
7,tacdn,Platform,,,1.41
8,twitter,Add-on,x,,1.38
9,smugmug,Platform,,,1.29
10,squarespace,Platform,,,1.21
11,bootstrap,Library,x,x,1.21
12,wix,Platform,,,1.19
13,google ad services,Add-on,x,,1.13
14,google tag services,Add-on,x,,0.94
15,jqueryui,Library,x,x,0.94
16,google recaptcha,Add-on,x,,0.87
17,google analytics,Add-on,x,,0.86
18,bigcommerce,Platform,,,0.73
19,shopify,Platform,,,0.73
20,cookieconsent2,Library,x,,0.66
