Rank,Name,Type,Snippet,SRI,Percentage
1,google syndication,add-on,x,,11.72
2,jquery,library,x,x,6.39
3,wordpress,platform,,,5.04
4,google apis,add-on,x,,2.62
5,blogger,platform,,,2.40
6,font-awesome,library,x,x,2.21
7,tacdn,platform,,,1.41
8,twitter,add-on,x,,1.38
9,smugmug,platform,,,1.29
10,squarespace,platform,,,1.21
11,bootstrap,library,x,x,1.21
12,wix,platform,,,1.19
13,google ad services,add-on,x,,1.13
14,google tag services,add-on,x,,0.94
15,jqueryui,library,x,x,0.94
16,google recaptcha,add-on,x,,0.87
17,google analytics,add-on,x,,0.86
18,bigcommerce,platform,,,0.73
19,shopify,platform,,,0.73
20,cookieconsent2,library,x,,0.66
