Rank,Perc.,Name,Type,Snippet,SRI
1,11.72,google syndication,add-on,x,
2,6.39,jquery,library,x,x
3,5.04,wordpress,platform,,
4,2.62,google apis,add-on,x,
5,2.4,blogger,platform,,
6,2.21,font-awesome,library,x,x
7,1.41,tacdn,platform,,
8,1.38,twitter,add-on,x,
9,1.29,smugmug,platform,,
10,1.21,squarespace,platform,,
11,1.21,bootstrap,library,x,x
12,1.19,wix,platform,,
13,1.13,google ad services,add-on,x,
14,0.94,google tag services,add-on,x,
15,0.94,jqueryui,library,x,x
16,0.87,google recaptcha,add-on,x,
17,0.86,google analytics,add-on,x,
18,0.73,bigcommerce,platform,,
19,0.73,shopify,platform,,
20,0.66,cookieconsent2,library,x,
