Rank,Identification,Percentage,Platform,Add-on,Library,Snippet,SRI
1,google syndication,11.72,,x,,x,
2,jquery,6.39,,,x,x,x
3,wordpress,5.04,x,,,,
4,google apis,2.62,,x,,x,
5,blogger,2.40,x,,,,
6,font-awesome,2.21,,,x,x,x
7,tacdn,1.41,x,,,,
8,twitter,1.38,,x,,x,
9,smugmug,1.29,x,,,,
10,squarespace,1.21,x,,,,
11,bootstrap,1.21,,,x,x,x
12,wix,1.19,x,,,,
13,google ad services,1.13,,x,,x,
14,google tag services,0.94,,x,,x,
15,jqueryui,0.94,,,x,x,x
16,google recaptcha,0.87,,x,,x,
17,google analytics,0.86,,x,,x,
18,bigcommerce,0.73,x,,,,
19,shopify,0.73,x,,,,
20,cookieconsent2,0.66,,,x,x,
